id,avatar,bio,communityId,createdAt,email,interestVector,isActivated,lastSeen,password,refreshToken,role,selectedCategories,updatedAt,username,Comment,Friendship_receiverId,Friendship_requesterId,Like,Member,Post,ReactionUser,Server
04611aaa-eca4-4f8c-a8be-e078953d5ea7,,,,2026-03-29T17:16:37.516Z,veritasium@example.com,,true,2026-03-29T17:16:37.516Z,dV9a8bY93uspanlr08p5OCbkJK3MeF2Noya2uG7T8TQ,,USER,[],2026-03-29T17:16:37.516Z,veritasium,,,,,,,,
057c3369-0766-457a-9b06-b8241bbfb888,,,,2026-03-29T17:13:33.354Z,lienquanmobile@example.com,,true,2026-03-29T17:13:33.354Z,Ubjm_iExSfo3QfN5gFYwtBjHFdmrvtGEuQsBMaiBe_8,,USER,[],2026-03-29T17:13:33.354Z,lienquanmobile,,,,,,,,
06339fa5-01b2-495c-8f7d-a40e941ceecf,,,,2026-03-29T17:15:04.097Z,vietnamnet.vn@example.com,,true,2026-03-29T17:15:04.097Z,GeTo2tMX4S7DbcRBoGz2tkrAh6k-fymVsZLzRJ--DVo,,USER,[],2026-03-29T17:15:04.097Z,vietnamnet.vn,,,,,,,,
063ce956-10ac-4677-a744-7ad0b829f7a0,,,,2026-03-29T17:12:04.695Z,cafechungkhoanek@example.com,,true,2026-03-29T17:12:04.695Z,-H0ymaXYekSD75RzD2JzVbITohg84UsZG58VQXGte5o,,USER,[],2026-03-29T17:12:04.695Z,cafechungkhoanek,,,,,,,,
0d960d24-5054-4c5d-9c1f-38edb7326016,,,,2026-04-24T04:50:30.355Z,komuondoiava@gmail.com,,true,2026-04-24T04:50:30.355Z,$2b$10$Hw8zVQe1ijQiDL8vF9yL2OheFj6aKYHqkQfGG7qka23/mQxPexGoa,$2b$10$jI3OJ05YkYsu0nl7bpXLEOS6a46Z4j4oNns7TuKncyBilVcd7Y1iC,USER,"[""Sports"",""Music"",""News""]",2026-04-24T04:52:04.961Z,alsotest,,,,,,,,
0e3444b0-651e-4117-b47b-817069dec9e7,,,,2026-03-29T17:16:37.950Z,fifa@example.com,,true,2026-03-29T17:16:37.950Z,L2w6Cgbkar8UvzdRBdsfz8qzPp3vFKyVtpN9RRpwCMI,,USER,[],2026-03-29T17:16:37.950Z,fifa,,,,,,,,
0eaf3dab-44d0-4bc9-a5ad-7ef101236200,,,,2026-03-29T17:16:04.708Z,engineering@example.com,,true,2026-03-29T17:16:04.708Z,NnPFHCGichQgO1txGVJEFXWJXw_n6cZbzjn4qaSEhm8,,USER,[],2026-03-29T17:16:04.708Z,engineering,,,,,,,,
160b6d37-539a-4c4c-8d0f-60674c5e1575,,,,2026-03-29T17:14:30.268Z,musiclife@example.com,,true,2026-03-29T17:14:30.268Z,LCR7cwWQIpX6RHi3iccdvvdYPH-oEIodfi87wZTrD0E,,USER,[],2026-03-29T17:14:30.268Z,musiclife,,,,,,,,
1a6f6984-0412-402d-8409-78bad5452cae,,,,2026-03-29T17:16:58.405Z,techcrunch@example.com,,true,2026-03-29T17:16:58.405Z,Ner1yEQq_8rYlca5xD1ojG5dvh3rR_h9GAnNSf-CUiw,,USER,[],2026-03-29T17:16:58.405Z,techcrunch,,,,,,,,
1c4762f2-1dc9-47f4-847b-764ef074ce9b,,,,2026-03-29T17:17:15.328Z,technologyinnovation1@example.com,,true,2026-03-29T17:17:15.328Z,sMabPhonkQUltL6Lkqn7RnF6NI_reTFED1mxR23iAc0,,USER,[],2026-03-29T17:17:15.328Z,technologyinnovation1,,,,,,,,
201ca225-be01-440e-94d0-8de62bff41b0,,,,2026-03-29T17:16:21.805Z,sciencemagazine@example.com,,true,2026-03-29T17:16:21.805Z,-U8249Fl7AH2izZ19oXApgfn_1SUt4IX_YIjlGK1CA8,,USER,[],2026-03-29T17:16:21.805Z,sciencemagazine,,,,,,,,
